l2filename,cpomfilename,atl07filename,atl10filename,start _CS2,end_CS2,start_IS2,end_IS2,strong_beam
CS_OFFL_SIR1SAR_FR_20220302T004121_20220302T004737_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220302T004024.elev,ATL07-01_20220301222747_10641401_006_01.h5,ATL10-01_20220301222747_10641401_006_01.h5,"2022, 03, 02, 00, 42, 14","2022, 03, 02, 00, 48, 03","2022, 03, 01, 22, 47, 01","2022, 03, 01, 22, 52, 32",L
CS_OFFL_SIR1SAR_FR_20220307T062651_20220307T063516_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220307T061333.elev,ATL07-01_20220307041059_11441401_006_01.h5,ATL10-01_20220307041059_11441401_006_01.h5,"2022, 03, 07, 06, 27, 27","2022, 03, 07, 06, 32, 56","2022, 03, 07, 04, 32, 41","2022, 03, 07, 04, 37, 52",L
CS_OFFL_SIR1SAR_FR_20220308T135036_20220308T140032_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220308T133936.elev,ATL07-01_20220308113646_11641401_006_01.h5,ATL10-01_20220308113646_11641401_006_01.h5,"2022, 03, 08, 13, 54, 13","2022, 03, 08, 13, 58, 04","2022, 03, 08, 11, 59, 32","2022, 03, 08, 12, 03, 10",L
CS_OFFL_SIR1SAR_FR_20220309T211459_20220309T212006_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220309T205916.elev,ATL07-01_20220309190233_11841401_006_01.h5,ATL10-01_20220309190233_11841401_006_01.h5,"2022, 03, 09, 21, 16, 47","2022, 03, 09, 21, 20, 43","2022, 03, 09, 19, 22, 24","2022, 03, 09, 19, 26, 08",L
CS_OFFL_SIR1SAR_FR_20220311T044236_20220311T045030_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220311T042930.elev,ATL07-01_20220311022820_12041401_006_01.h5,ATL10-01_20220311022820_12041401_006_01.h5,"2022, 03, 11, 04, 43, 38","2022, 03, 11, 04, 50, 21","2022, 03, 11, 02, 49, 19","2022, 03, 11, 02, 55, 41",L
CS_OFFL_SIR1SAR_FR_20220312T120827_20220312T121343_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220312T112729.elev,ATL07-01_20220312095408_12241401_006_01.h5,ATL10-01_20220312095408_12241401_006_01.h5,"2022, 03, 12, 12, 09, 33","2022, 03, 12, 12, 14, 20","2022, 03, 12, 10, 15, 22","2022, 03, 12, 10, 19, 55",L
CS_OFFL_SIR1SAR_FR_20220319T011701_20220319T012205_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220319T011241.elev,ATL07-01_20220318230308_13241401_006_01.h5,ATL10-01_20220318230308_13241401_006_01.h5,"2022, 03, 19, 01, 18, 13","2022, 03, 19, 01, 22, 41","2022, 03, 18, 23, 24, 47","2022, 03, 18, 23, 29, 01",L
CS_OFFL_SIR1SAR_FR_20220320T084322_20220320T084845_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220320T081951.elev,ATL07-01_20220320062856_13441401_006_01.h5,ATL10-01_20220320062856_13441401_006_01.h5,"2022, 03, 20, 08, 43, 59","2022, 03, 20, 08, 49, 22","2022, 03, 20, 06, 50, 41","2022, 03, 20, 06, 55, 49",L
CS_OFFL_SIR1SAR_FR_20220321T160514_20220321T161157_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220321T152659.elev,ATL07-01_20220321135444_13641401_006_01.h5,ATL10-01_20220321135444_13641401_006_01.h5,"2022, 03, 21, 16, 05, 58","2022, 03, 21, 16, 12, 34","2022, 03, 21, 14, 13, 01","2022, 03, 21, 14, 19, 18",L
CS_OFFL_SIR1SAR_FR_20220322T233203_20220322T233759_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220322T233049.elev,ATL07-01_20220322212032_13841401_006_01.h5,ATL10-01_20220322212032_13841401_006_01.h5,"2022, 03, 22, 23, 32, 41","2022, 03, 22, 23, 38, 35","2022, 03, 22, 21, 39, 49","2022, 03, 22, 21, 45, 26",L
CS_OFFL_SIR1SAR_FR_20220324T070024_20220324T070756_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220324T061850.elev,ATL07-01_20220324044618_00171501_006_01.h5,ATL10-01_20220324044618_00171501_006_01.h5,"2022, 03, 24, 07, 01, 02","2022, 03, 24, 07, 08, 18","2022, 03, 24, 05, 08, 11","2022, 03, 24, 05, 15, 05",L
CS_OFFL_SIR1SAR_FR_20220328T051708_20220328T052533_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220328T050408.elev,ATL07-01_20220328030343_00771501_006_01.h5,ATL10-01_20220328030343_00771501_006_01.h5,"2022, 03, 28, 05, 17, 44","2022, 03, 28, 05, 25, 15","2022, 03, 28, 03, 25, 19","2022, 03, 28, 03, 32, 29",L
CS_OFFL_SIR1SAR_FR_20220329T124106_20220329T125111_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220329T122947.elev,ATL07-01_20220329102930_00971501_006_01.h5,ATL10-01_20220329102930_00971501_006_01.h5,"2022, 03, 29, 12, 41, 48","2022, 03, 29, 12, 46, 23","2022, 03, 29, 10, 49, 35","2022, 03, 29, 10, 53, 57",L
CS_OFFL_SIR1SAR_FR_20220329T124106_20220329T125111_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220329T122947.elev,ATL07-01_20220329102930_00971501_006_01.h5,ATL10-01_20220329102930_00971501_006_01.h5,"2022, 03, 29, 12, 46, 22","2022, 03, 29, 12, 50, 06","2022, 03, 29, 10, 53, 56","2022, 03, 29, 10, 57, 30",L
CS_OFFL_SIR1SAR_FR_20220401T033307_20220401T034054_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220401T031947.elev,ATL07-01_20220401012104_01371501_006_02.h5,ATL10-01_20220401012104_01371501_006_02.h5,"2022, 04, 01, 03, 34, 01","2022, 04, 01, 03, 41, 31","2022, 04, 01, 01, 42, 02","2022, 04, 01, 01, 49, 10",L
CS_OFFL_SIR1SAR_FR_20220402T105853_20220402T110411_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220402T101800.elev,ATL07-01_20220402084652_01571501_006_02.h5,ATL10-01_20220402084652_01571501_006_02.h5,"2022, 04, 02, 10, 59, 29","2022, 04, 02, 11, 04, 47","2022, 04, 02, 09, 07, 39","2022, 04, 02, 09, 12, 43",L
CS_OFFL_SIR1SAR_FR_20220403T182310_20220403T182757_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220403T175012.elev,ATL07-01_20220403161239_01771501_006_02.h5,ATL10-01_20220403161239_01771501_006_02.h5,"2022, 04, 03, 18, 25, 24","2022, 04, 03, 18, 28, 34","2022, 04, 03, 16, 33, 44","2022, 04, 03, 16, 36, 44",L
