l2filename,cpomfilename,atl07filename,atl10filename,start _CS2,end_CS2,start_IS2,end_IS2,strong_beam
CS_OFFL_SIR1SAR_FR_20211115T230038_20211115T230926_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211115T222649.elev,ATL07-01_20211115203827_08311301_006_01.h5,ATL10-01_20211115203827_08311301_006_01.h5,"2021, 11, 15, 23, 03, 30","2021, 11, 15, 23, 10, 03","2021, 11, 15, 20, 56, 45","2021, 11, 15, 21, 02, 59",L
CS_OFFL_SIR1SAR_FR_20211119T212012_20211119T212912_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211119T204415.elev,ATL07-01_20211119185554_08911301_006_01.h5,ATL10-01_20211119185554_08911301_006_01.h5,"2021, 11, 19, 21, 22, 20","2021, 11, 19, 21, 29, 21","2021, 11, 19, 19, 15, 56","2021, 11, 19, 19, 22, 37",L
CS_OFFL_SIR1SAR_FR_20211121T044631_20211121T045237_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211121T044631.elev,ATL07-01_20211121022139_09111301_006_01.h5,ATL10-01_20211121022139_09111301_006_01.h5,"2021, 11, 21, 04, 47, 48","2021, 11, 21, 04, 53, 14","2021, 11, 21, 02, 41, 34","2021, 11, 21, 02, 46, 43",L
CS_OFFL_SIR1SAR_FR_20211123T193659_20211123T194556_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211123T185951.elev,ATL07-01_20211123171314_09511301_006_01.h5,ATL10-01_20211123171314_09511301_006_01.h5,"2021, 11, 23, 19, 37, 36","2021, 11, 23, 19, 45, 54","2021, 11, 23, 17, 31, 40","2021, 11, 23, 17, 39, 34",L
CS_OFFL_SIR1SAR_FR_20211126T103013_20211126T103908_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211126T101733.elev,ATL07-01_20211126080447_09911301_006_01.h5,ATL10-01_20211126080447_09911301_006_01.h5,"2021, 11, 26, 10, 31, 19","2021, 11, 26, 10, 39, 44","2021, 11, 26, 08, 25, 34","2021, 11, 26, 08, 33, 33",L
CS_OFFL_SIR1SAR_FR_20211127T175614_20211127T180447_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211127T175224.elev,ATL07-01_20211127153035_10111301_006_01.h5,ATL10-01_20211127153035_10111301_006_01.h5,"2021, 11, 27, 17, 56, 50","2021, 11, 27, 18, 04, 19","2021, 11, 27, 15, 51, 14","2021, 11, 27, 15, 58, 21",L
CS_OFFL_SIR1SAR_FR_20211130T084755_20211130T085550_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211130T083516.elev,ATL07-01_20211130062211_10511301_006_01.h5,ATL10-01_20211130062211_10511301_006_01.h5,"2021, 11, 30, 08, 50, 57","2021, 11, 30, 08, 56, 26","2021, 11, 30, 06, 45, 29","2021, 11, 30, 06, 50, 43",L
CS_OFFL_SIR1SAR_FR_20211201T161358_20211201T162109_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211201T155756.elev,ATL07-01_20211201134758_10711301_006_01.h5,ATL10-01_20211201134758_10711301_006_01.h5,"2021, 12, 01, 16, 16, 31","2021, 12, 01, 16, 20, 27","2021, 12, 01, 14, 11, 12","2021, 12, 01, 14, 14, 56",L
CS_OFFL_SIR1SAR_FR_20211202T233606_20211202T234243_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211202T225947.elev,ATL07-01_20211202211346_10911301_006_01.h5,ATL10-01_20211202211346_10911301_006_01.h5,"2021, 12, 02, 23, 37, 14","2021, 12, 02, 23, 43, 19","2021, 12, 02, 21, 32, 17","2021, 12, 02, 21, 38, 04",L
CS_OFFL_SIR1SAR_FR_20211206T214957_20211206T215954_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211206T211642.elev,ATL07-01_20211206193110_11511301_006_01.h5,ATL10-01_20211206193110_11511301_006_01.h5,"2021, 12, 06, 21, 54, 03","2021, 12, 06, 21, 59, 35","2021, 12, 06, 19, 49, 36","2021, 12, 06, 19, 54, 50",L
CS_OFFL_SIR1SAR_FR_20211208T051838_20211208T052613_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211208T051838.elev,ATL07-01_20211208025658_11711301_006_01.h5,ATL10-01_20211208025658_11711301_006_01.h5,"2021, 12, 08, 05, 21, 47","2021, 12, 08, 05, 26, 21","2021, 12, 08, 03, 17, 22","2021, 12, 08, 03, 21, 42",L
CS_OFFL_SIR1SAR_FR_20211213T110528_20211213T111300_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211213T105121.elev,ATL07-01_20211213084009_12511301_006_01.h5,ATL10-01_20211213084009_12511301_006_01.h5,"2021, 12, 13, 11, 07, 12","2021, 12, 13, 11, 12, 42","2021, 12, 13, 09, 03, 13","2021, 12, 13, 09, 08, 27",L
CS_OFFL_SIR1SAR_FR_20211214T182731_20211214T183614_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211214T174937.elev,ATL07-01_20211214160557_12711301_006_01.h5,ATL10-01_20211214160557_12711301_006_01.h5,"2021, 12, 14, 18, 28, 08","2021, 12, 14, 18, 36, 49","2021, 12, 14, 16, 24, 31","2021, 12, 14, 16, 32, 47",L
CS_OFFL_SIR1SAR_FR_20211221T073819_20211221T074618_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211221T072714.elev,ATL07-01_20211221051453_13711301_006_01.h5,ATL10-01_20211221051453_13711301_006_01.h5,"2021, 12, 21, 07, 39, 14","2021, 12, 21, 07, 46, 04","2021, 12, 21, 05, 36, 11","2021, 12, 21, 05, 42, 41",L
CS_OFFL_SIR1SAR_FR_20211227T204222_20211227T205019_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211227T200711.elev,ATL07-01_20211227182351_00841401_006_01.h5,ATL10-01_20211227182351_00841401_006_01.h5,"2021, 12, 27, 20, 44, 20","2021, 12, 27, 20, 50, 56","2021, 12, 27, 18, 42, 08","2021, 12, 27, 18, 48, 26",L
CS_OFFL_SIR1SAR_FR_20211229T040921_20211229T041633_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211229T040753.elev,ATL07-01_20211229014938_01041401_006_01.h5,ATL10-01_20211229014938_01041401_006_01.h5,"2021, 12, 29, 04, 10, 33","2021, 12, 29, 04, 14, 44","2021, 12, 29, 02, 08, 28","2021, 12, 29, 02, 12, 27",L
CS_OFFL_SIR1SAR_FR_20211231T190055_20211231T190824_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211231T182418.elev,ATL07-01_20211231164114_01441401_006_01.h5,ATL10-01_20211231164114_01441401_006_01.h5,"2021, 12, 31, 19, 03, 47","2021, 12, 31, 19, 09, 01","2021, 12, 31, 17, 01, 54","2021, 12, 31, 17, 06, 52",L
CS_OFFL_SIR1SAR_FR_20220102T022951_20220102T023333_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220102T022724.elev,ATL07-01_20220102000701_01641401_006_01.h5,ATL10-01_20220102000701_01641401_006_01.h5,"2022, 01, 02, 02, 30, 28","2022, 01, 02, 02, 34, 10","2022, 01, 02, 00, 28, 39","2022, 01, 02, 00, 32, 12",L
CS_OFFL_SIR1SAR_FR_20220103T095551_20220103T100335_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220103T094218.elev,ATL07-01_20220103073249_01841401_006_01.h5,ATL10-01_20220103073249_01841401_006_01.h5,"2022, 01, 03, 09, 56, 30","2022, 01, 03, 10, 00, 59","2022, 01, 03, 07, 54, 51","2022, 01, 03, 07, 59, 05",L
CS_OFFL_SIR1SAR_FR_20220106T004340_20220106T004846_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220106T002400.elev,ATL07-01_20220105222422_02241401_006_01.h5,ATL10-01_20220105222422_02241401_006_01.h5,"2022, 01, 06, 00, 44, 44","2022, 01, 06, 00, 49, 23","2022, 01, 05, 22, 43, 30","2022, 01, 05, 22, 47, 56",L
CS_OFFL_SIR1SAR_FR_20220107T081113_20220107T081934_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20220107T075754.elev,ATL07-01_20220107055013_02441401_006_01.h5,ATL10-01_20220107055013_02441401_006_01.h5,"2022, 01, 07, 08, 12, 20","2022, 01, 07, 08, 20, 10","2022, 01, 07, 06, 11, 10","2022, 01, 07, 06, 18, 36",L
